MOFname,Mof_volume
mof_unit_55,9.579547479254647e-28
mof_unit_56,1.8143721870945678e-27
mof_unit_57,9.058891560325145e-28
mof_unit_58,3.533223029288646e-28
mof_unit_59,4.828590285184434e-28
mof_unit_60,2.480445516717213e-28
mof_unit_61,6.180542727158287e-28
mof_unit_62,5.581417167651212e-28
mof_unit_63,7.0523723513124545e-28
mof_unit_64,2.0407837541030154e-27
mof_unit_65,5.720449755608361e-28
mof_unit_66,1.5681867200175487e-27
mof_unit_67,1.0608833526606792e-27
mof_unit_68,6.912638709988821e-28
mof_unit_69,8.532447075876805e-28
mof_unit_70,1.1006568135075145e-27
mof_unit_71,1.1796943390871817e-27
mof_unit_72,3.0579327229997083e-28
mof_unit_73,3.07206000789645e-28
mof_unit_74,3.644089736794124e-28
mof_unit_75,1.6689405715743647e-27
mof_unit_76,1.0922618662926823e-27
mof_unit_77,5.562461605603071e-28
mof_unit_78,6.372234935783492e-28
mof_unit_79,8.93278016779638e-28
mof_unit_80,9.081377169694694e-28
mof_unit_81,2.6831961475609324e-27
mof_unit_82,5.939505952577172e-28
mof_unit_83,2.985553810102708e-28
mof_unit_84,6.254393452416912e-28
mof_unit_85,8.220603427067524e-28
mof_unit_86,1.6672601607354976e-27
mof_unit_87,1.2661397128950344e-27
mof_unit_88,6.3940640600960415e-28
mof_unit_89,8.351932294086012e-28
mof_unit_90,3.969892046657836e-28
mof_unit_91,7.604198675643134e-28
mof_unit_92,9.190526247814728e-28
mof_unit_93,7.145912704764448e-28
mof_unit_94,8.630320328651266e-28
mof_unit_95,3.616812710314746e-27
mof_unit_96,1.677869814522021e-27
mof_unit_97,6.8611111562214e-28
mof_unit_98,7.99236836551029e-28
mof_unit_99,9.146818305584231e-28
mof_unit_100,6.74874561148903e-28
mof_unit_101,1.1053270517759791e-27
mof_unit_102,1.042533661122146e-27
mof_unit_103,8.115502964051544e-28
mof_unit_104,3.976668036733507e-28
mof_unit_105,3.90160673861333e-28
mof_unit_106,1.4137879511364267e-27
mof_unit_107,3.47294990843811e-28
mof_unit_108,6.899059292176553e-28
mof_unit_109,4.028939701941633e-28
mof_unit_110,3.2220376661440546e-28
mof_unit_111,1.0320223101914972e-27
mof_unit_112,2.3620264675295763e-27
mof_unit_113,1.2058816394311791e-27
mof_unit_114,1.0658032465012916e-27
mof_unit_115,5.468385090947001e-28
mof_unit_116,5.895079789671612e-28
mof_unit_117,6.23344102075553e-28
mof_unit_118,1.2833307868361266e-27
mof_unit_119,7.594494671457734e-28
mof_unit_120,1.0466901275041927e-27
mof_unit_121,3.3341715945049157e-28
mof_unit_122,7.0157176047006875e-28
mof_unit_123,4.818986727808172e-28
mof_unit_124,6.250918903500839e-28
mof_unit_125,6.395184157356915e-28
mof_unit_126,1.1050884999176094e-27
mof_unit_127,9.904821552613038e-28
mof_unit_128,7.212460042168397e-28
mof_unit_129,1.5258396407753968e-27
mof_unit_130,6.974990360157779e-28
mof_unit_131,1.127186403921439e-27
mof_unit_132,6.367625911358219e-28
mof_unit_133,9.834226793736544e-28
mof_unit_134,5.868280055262179e-28
mof_unit_135,4.167979880856063e-28
mof_unit_136,4.911195346236755e-28
mof_unit_137,5.763022092787165e-28
mof_unit_138,1.2197585272205543e-27
mof_unit_139,3.1461975150418803e-28
mof_unit_140,3.2083838053808367e-27
mof_unit_141,8.0068340891135385e-28
mof_unit_142,1.0792909241151978e-27
mof_unit_143,1.0484085949324134e-27
mof_unit_144,1.334148115203217e-27
mof_unit_145,9.60845815473814e-28
mof_unit_146,1.0149531680142721e-27
mof_unit_147,1.3458202891322242e-27
mof_unit_148,1.194676855406587e-27
mof_unit_149,8.977174747790956e-28
mof_unit_150,6.767558216326084e-28
mof_unit_151,7.093679852114877e-28
mof_unit_152,5.238237215317645e-28
mof_unit_153,7.44867917233095e-28
mof_unit_154,3.5767548280158275e-28
mof_unit_155,8.164569158963523e-28
mof_unit_156,1.1688692930520145e-27
mof_unit_157,5.675532948646018e-28
mof_unit_158,6.294455627612246e-28
mof_unit_159,5.674730362647233e-28
mof_unit_160,1.1580053325435486e-27
mof_unit_161,1.1544858823926264e-27
mof_unit_162,6.34566401972766e-28
mof_unit_163,6.297276672411862e-28
mof_unit_164,6.41166229148862e-28
mof_unit_165,4.891780542297871e-28
mof_unit_166,1.930443112048819e-27
mof_unit_167,3.995148288921024e-28
mof_unit_168,6.772553257578271e-28
mof_unit_169,4.366894547792499e-28
mof_unit_170,6.372966373451144e-28
mof_unit_171,4.854248978925998e-28
mof_unit_172,8.3105058817278e-28
mof_unit_173,1.3322855730870053e-27
mof_unit_174,2.2023546375796268e-27
mof_unit_175,8.683403398322578e-28
mof_unit_176,1.1879048515730622e-27
mof_unit_177,1.7172978438660906e-27
mof_unit_178,5.491470829880185e-28
mof_unit_179,1.0820714511746984e-27
mof_unit_180,5.061911303861909e-28
mof_unit_181,8.272639769898342e-28
mof_unit_182,3.658745510979228e-28
mof_unit_183,6.743129443193208e-28
mof_unit_184,4.846416999624458e-28
mof_unit_185,9.203929861643565e-28
mof_unit_186,4.842221698252399e-28
mof_unit_187,8.365634968309946e-28
mof_unit_188,3.447365837783756e-28
mof_unit_189,7.811221917429599e-28
mof_unit_190,3.5767763792741393e-28
mof_unit_191,1.1755833727777382e-27
mof_unit_192,4.756267757112401e-28
mof_unit_193,2.487329805455158e-27
mof_unit_194,3.6893217106690163e-28
mof_unit_195,6.21509076036594e-28
mof_unit_196,4.770232115882984e-28
mof_unit_197,5.204375474139467e-28
mof_unit_198,1.0809901772782817e-27
mof_unit_199,7.3764271197790615e-28
mof_unit_200,6.496394320130527e-28
mof_unit_201,6.069328785949659e-28
mof_unit_202,4.5771525150183825e-28
mof_unit_203,1.5581591609388832e-27
mof_unit_204,7.7546715499601625e-28
mof_unit_205,7.030795232939654e-28
mof_unit_206,2.716097827457481e-28
mof_unit_207,6.802008707496221e-28
mof_unit_208,4.4770386758757235e-28
mof_unit_209,2.404163912025646e-27
mof_unit_210,1.3064479500111137e-27
mof_unit_211,8.827520533133407e-28
mof_unit_212,8.931644614320633e-28
mof_unit_213,2.149481290567782e-27
mof_unit_214,3.591540010929282e-27
mof_unit_215,4.451316037587432e-28
mof_unit_216,4.680862871422817e-28
mof_unit_217,7.526359894831566e-28
mof_unit_218,9.470438893355168e-28
mof_unit_219,6.983952393760046e-28
mof_unit_220,1.554757682176229e-27
mof_unit_221,1.0637408204849644e-27
mof_unit_222,7.273008752274137e-28
mof_unit_223,4.214006511861768e-28
mof_unit_224,1.1521343814008656e-27
mof_unit_225,5.734587575558112e-28
mof_unit_226,4.25018147066754e-28
mof_unit_227,8.98577535430579e-28
mof_unit_228,4.52912308137248e-28
mof_unit_229,1.1315754028271322e-27
mof_unit_230,5.961170195412006e-28
mof_unit_231,9.98688935162194e-28
mof_unit_232,2.724006474351113e-27
mof_unit_233,3.234455916011683e-28
mof_unit_234,1.354826802463172e-27
mof_unit_235,9.922430515324668e-28
mof_unit_236,1.1836914885070205e-27
mof_unit_237,1.6639748569560525e-27
mof_unit_238,8.139338242691777e-28
mof_unit_239,6.586619400918391e-28
mof_unit_240,6.112141202297973e-28
mof_unit_241,8.11930897148598e-28
mof_unit_242,6.654643925680169e-28
mof_unit_243,4.776129465376639e-28
mof_unit_244,8.167064879424052e-28
mof_unit_245,6.304000175233084e-28
mof_unit_246,8.246491069028018e-28
mof_unit_247,9.475874058164562e-28
mof_unit_248,1.1123631493813961e-27
mof_unit_249,4.717192984696378e-28
mof_unit_250,3.7843382704243556e-28
mof_unit_251,1.1274619094827695e-27
mof_unit_252,5.830098955594348e-28
mof_unit_253,1.6483376285491276e-27
mof_unit_254,8.224581285320077e-28
mof_unit_255,1.4166766474174484e-27
mof_unit_256,9.535038309225324e-28
mof_unit_257,7.303862500723527e-28
mof_unit_258,2.181488714844796e-27
mof_unit_259,4.547065615166959e-28
mof_unit_260,6.865625672300015e-28
mof_unit_261,1.2005100134326701e-27
mof_unit_262,6.957533393117495e-28
mof_unit_263,1.3407055153727224e-27
mof_unit_264,6.77570758792724e-28
mof_unit_265,7.986187358831264e-28
mof_unit_266,2.3784996549814484e-28
mof_unit_267,4.270688712315654e-28
mof_unit_268,5.125761247848161e-28
mof_unit_269,9.152311057842867e-28
mof_unit_270,7.098893284276373e-28
mof_unit_271,4.798549104292545e-28
mof_unit_272,1.5968111144644719e-27
mof_unit_273,6.930015924007587e-28
mof_unit_274,6.241125419950069e-28
mof_unit_275,5.23661788640719e-28
mof_unit_276,1.7804271505859974e-27
mof_unit_277,5.393167170515029e-28
mof_unit_278,1.5882573024730322e-27
mof_unit_279,4.752510930186476e-28
mof_unit_280,6.158462764168939e-28
mof_unit_281,4.731047460993508e-28
mof_unit_282,9.063813711858007e-28
mof_unit_283,6.48207182676399e-28
mof_unit_284,2.7698615147283122e-27
mof_unit_285,1.7691781800932513e-27
mof_unit_286,1.0600917415430172e-27
mof_unit_287,7.788873687845933e-28
mof_unit_288,4.263210027782911e-28
mof_unit_289,6.583972614077546e-28
mof_unit_290,1.1038607847588494e-27
mof_unit_291,7.096136923774411e-28
mof_unit_292,1.1198913563466235e-27
mof_unit_293,1.036299373186594e-27
mof_unit_294,7.258781560686619e-28
mof_unit_295,5.628027935872611e-28
mof_unit_296,4.494517863597951e-28
mof_unit_297,8.714350282482292e-28
mof_unit_298,4.257868437430738e-28
mof_unit_299,7.168755349788531e-28
mof_unit_300,6.303647518680985e-28
mof_unit_301,1.549561093063041e-27
mof_unit_302,5.241094493287814e-28
mof_unit_303,1.0289875162466653e-27
mof_unit_304,1.4384831985781136e-27
mof_unit_305,4.513011896809501e-28
mof_unit_306,8.199970272558637e-28
mof_unit_307,6.710406943374549e-28
mof_unit_308,1.0545475251034106e-27
mof_unit_309,4.274457568233319e-28
mof_unit_310,3.0192612643780055e-27
mof_unit_311,3.579181359890912e-28
mof_unit_312,4.300608497075835e-28
mof_unit_313,4.320212145661846e-28
mof_unit_314,3.718580185522981e-28
mof_unit_315,1.980111910088708e-27
mof_unit_316,1.2626958217583054e-27
mof_unit_317,6.468210893518494e-28
mof_unit_318,1.253950525738618e-27
mof_unit_319,7.022692091967037e-28
mof_unit_320,8.418346045274695e-28
mof_unit_321,1.0903811569574495e-27
mof_unit_322,4.432424205818291e-28
mof_unit_323,7.290254015750626e-28
mof_unit_324,8.381684147373743e-28
mof_unit_325,6.7325238450047425e-28
mof_unit_326,4.0182404073840483e-28
mof_unit_327,7.821802595502663e-28
mof_unit_328,3.9670166723161405e-28
mof_unit_329,2.556027227951193e-27
mof_unit_330,7.368536402439023e-28
mof_unit_331,1.2525318244439967e-27
mof_unit_332,4.255104252013267e-28
mof_unit_333,6.175243313280584e-28
mof_unit_334,5.1909000650786965e-28
mof_unit_335,4.765240528501795e-28
mof_unit_336,6.257870514197848e-28
mof_unit_337,5.546164854973635e-28
mof_unit_338,3.317993526157298e-28
mof_unit_339,6.857486431538326e-28
mof_unit_340,5.899287485227205e-28
mof_unit_341,6.169985413494916e-28
mof_unit_342,3.8635206920608616e-28
mof_unit_343,3.451399163413451e-28
mof_unit_344,5.33200958519762e-28
mof_unit_345,5.533592452015115e-28
mof_unit_346,1.2159235518267351e-27
mof_unit_347,9.298128686118219e-28
mof_unit_348,5.776796455261438e-28
mof_unit_349,3.93496895904974e-27
mof_unit_350,1.0444791586616615e-27
mof_unit_351,6.588284333299195e-28
mof_unit_352,1.974099743590141e-27
mof_unit_353,6.363335291958215e-28
mof_unit_354,7.27461554733868e-28
mof_unit_355,4.339825457058129e-28
mof_unit_356,1.0998348713828438e-27
mof_unit_357,4.255110692680674e-28
mof_unit_358,5.58866764672459e-28
mof_unit_359,9.705554606306878e-28
mof_unit_360,5.169238600613969e-28
mof_unit_361,1.5909372353055274e-27
mof_unit_362,7.513561743287691e-28
mof_unit_363,5.8060993416910565e-28
mof_unit_364,9.361995111228795e-28
mof_unit_365,2.89411443313593e-28
mof_unit_366,3.986627842793945e-28
mof_unit_367,4.14246052554097e-28
mof_unit_368,8.172174720821184e-28
mof_unit_369,4.655724555163747e-28
mof_unit_370,5.653553864668309e-28
mof_unit_371,5.581085832788807e-28
mof_unit_372,1.3660322969512825e-27
mof_unit_373,2.0151413996853812e-28
mof_unit_374,1.2317148329153281e-27
mof_unit_375,5.593572807102017e-28
mof_unit_376,6.361429312746928e-28
mof_unit_377,7.149009072108052e-28
mof_unit_378,5.320243236316585e-28
mof_unit_379,5.147806188160538e-28
mof_unit_380,1.7249307931742244e-27
mof_unit_381,3.2180561595107583e-27
mof_unit_382,1.3456017390138676e-27
mof_unit_383,1.0140201125330665e-27
mof_unit_384,9.070216900916147e-28
mof_unit_385,4.26465977004457e-28
mof_unit_386,5.054003345507563e-28
mof_unit_387,3.944732076040117e-28
mof_unit_388,3.7061936000998754e-28
mof_unit_389,1.5693307570534118e-27
mof_unit_390,1.7288795274067387e-27
mof_unit_391,6.78581763752945e-28
mof_unit_392,8.497290316811634e-28
mof_unit_393,5.7491150555527165e-28
mof_unit_394,1.0410767432094803e-27
mof_unit_395,3.7686342421846757e-28
mof_unit_396,3.598437420333496e-28
mof_unit_397,3.4914034442431254e-28
mof_unit_398,4.815465130632093e-28
mof_unit_399,1.2954201603853654e-27
mof_unit_400,4.9545769285733645e-28
mof_unit_401,9.696017658643546e-28
mof_unit_402,1.2973470480900405e-27
mof_unit_403,6.1196355648028735e-28
mof_unit_404,3.85998654194309e-28
mof_unit_405,4.299017075789597e-28
mof_unit_406,1.1371102845568855e-27
mof_unit_407,4.843843704343451e-28
mof_unit_408,6.811562302992494e-28
mof_unit_409,8.698109929917562e-28
mof_unit_410,9.54769304577637e-28
mof_unit_411,7.369129729415077e-28
mof_unit_412,4.9244692010824625e-28
mof_unit_413,3.7635907774138903e-28
mof_unit_414,4.51418653810251e-28
mof_unit_415,1.0555481964698555e-27
mof_unit_416,7.769711594951539e-28
mof_unit_417,1.199796653898245e-27
mof_unit_418,5.144312521147552e-28
mof_unit_419,7.105441739044559e-28
mof_unit_420,9.357020685612685e-28
mof_unit_421,2.1987843307052413e-27
mof_unit_422,6.248745198352603e-28
mof_unit_423,3.7645237213699435e-28
mof_unit_424,3.1785019757210317e-27
mof_unit_425,6.007988831588564e-28
mof_unit_426,8.441329166294648e-28
mof_unit_427,1.0760483846568702e-27
mof_unit_428,1.5298944461351327e-27
mof_unit_429,8.974965493923656e-28
mof_unit_430,1.0321349496552296e-27
mof_unit_431,8.583109692280128e-28
mof_unit_432,1.9403425848334707e-27
mof_unit_433,6.477618749891155e-28
mof_unit_434,6.293950198465718e-28
mof_unit_435,8.237004582878306e-28
mof_unit_436,8.312463239820313e-28
mof_unit_437,1.348422538239423e-27
mof_unit_438,2.8923694892831447e-28
mof_unit_439,6.267909490552993e-28
mof_unit_440,7.434236899452337e-28
mof_unit_441,3.5957019191326356e-28
mof_unit_442,4.997443086131072e-28
mof_unit_443,3.0398000524714015e-27
mof_unit_444,3.350326893772536e-27
mof_unit_445,1.023475317237945e-27
mof_unit_446,1.668083994824711e-27
mof_unit_447,4.791477396346947e-28
mof_unit_448,9.762626265743994e-28
mof_unit_449,1.981110557259139e-27
mof_unit_450,1.0166975745517736e-27
mof_unit_451,3.91629846135358e-28
mof_unit_452,9.44672164301828e-28
mof_unit_453,2.0267399560762695e-27
mof_unit_454,4.455374305266723e-28
mof_unit_455,4.269425478461873e-28
mof_unit_456,9.714938288093256e-28
mof_unit_457,4.0008876419560335e-28
mof_unit_458,1.0890114135173513e-27
mof_unit_459,5.840139311601891e-28
mof_unit_460,7.250668199104573e-28
mof_unit_461,1.5596533676706295e-27
mof_unit_462,1.0062722194020059e-27
mof_unit_463,1.5777914451523364e-27
mof_unit_464,4.283113681733249e-28
mof_unit_465,1.0128078542645874e-27
mof_unit_466,9.216378233210302e-28
mof_unit_467,1.3338072507552017e-27
mof_unit_468,5.764859028870062e-28
mof_unit_469,4.757946297583568e-28
mof_unit_470,5.888020653695995e-28
mof_unit_471,9.384102676573926e-28
mof_unit_472,1.2485872068478234e-27
mof_unit_473,1.0035422531988365e-27
mof_unit_474,1.0732076087332215e-27
mof_unit_475,4.30745053165215e-28
mof_unit_476,8.0145429214258e-28
mof_unit_477,3.4772722285886273e-28
mof_unit_478,1.4234014968904692e-27
mof_unit_479,9.09037098465691e-28
mof_unit_480,6.152378369620703e-28
mof_unit_481,9.880400733290322e-28
mof_unit_482,9.157196996859182e-28
mof_unit_483,6.490415926989828e-28
mof_unit_484,4.365301727511504e-28
mof_unit_485,4.943526942915402e-28
mof_unit_486,2.7855640912479917e-28
mof_unit_487,1.0711605521610092e-27
mof_unit_488,6.918978908001788e-28
mof_unit_489,4.0234009377261686e-28
mof_unit_490,8.827231720967585e-28
mof_unit_491,2.883672431848979e-28
mof_unit_492,1.9443326566060347e-27
mof_unit_493,1.0275702819985103e-27
mof_unit_494,4.534083867123012e-28
mof_unit_495,2.037934311143913e-27
mof_unit_496,6.178144783866127e-28
mof_unit_497,4.384634030991111e-28
mof_unit_498,3.1804048814405286e-27
mof_unit_499,8.262348440374819e-28
mof_unit_500,3.749004036984031e-28
mof_unit_501,5.303343533664447e-28
mof_unit_502,3.696578428518741e-28
mof_unit_503,1.5170748220552305e-27
mof_unit_504,5.264860635646214e-28
mof_unit_505,8.984220342148737e-28
mof_unit_506,4.397037349484554e-28
mof_unit_507,8.450269687180503e-28
mof_unit_508,6.610274238174579e-28
mof_unit_509,4.998909155372211e-28
mof_unit_510,6.132579927788277e-28
mof_unit_511,5.70005096308961e-28
mof_unit_512,1.5140045927677726e-27
mof_unit_513,1.0500918757671626e-27
mof_unit_514,5.670151970046421e-28
mof_unit_515,1.2442375661812448e-27
mof_unit_516,5.191902651209273e-28
mof_unit_517,1.2375317394083816e-27
mof_unit_518,9.26812230736846e-28
mof_unit_519,1.2861293666591108e-27
mof_unit_520,1.496749504024034e-27
mof_unit_521,1.2136077430562553e-27
mof_unit_522,4.152817825540417e-28
mof_unit_523,6.945973455288266e-28
mof_unit_524,6.362730758053229e-28
mof_unit_525,1.0585457843247758e-27
mof_unit_526,2.12318879601892e-27
mof_unit_527,9.258503501507406e-28
mof_unit_528,7.464159593722307e-28
mof_unit_529,9.567981140159654e-28
mof_unit_530,5.771211108004558e-28
mof_unit_531,8.448531090802899e-28
mof_unit_532,5.680696795095638e-28
mof_unit_533,1.3764267024433593e-27
mof_unit_534,4.527170741000271e-28
mof_unit_535,1.7613218789747506e-27
mof_unit_536,9.745171503485027e-28
mof_unit_537,7.983567352744646e-28
mof_unit_538,1.664581558713207e-27
mof_unit_539,9.692468012701536e-28
mof_unit_540,8.503822644733095e-28
mof_unit_541,4.0213671432971224e-28
mof_unit_542,4.068166471528279e-28
mof_unit_543,1.927351987266278e-27
mof_unit_544,6.1968548789657735e-28
mof_unit_545,1.4571093399890272e-27
mof_unit_546,6.656776594334581e-28
mof_unit_547,6.02932719162827e-28
mof_unit_548,5.252480444677136e-28
mof_unit_549,4.726220522017379e-28
mof_unit_550,6.891440220366764e-28
mof_unit_551,8.665401281732184e-28
mof_unit_552,9.221209095492904e-28
mof_unit_553,3.7553084295500804e-28
mof_unit_554,1.0439958301602194e-27
mof_unit_555,1.788941233719924e-27
mof_unit_556,1.1082238598846422e-27
mof_unit_557,1.3165345694403748e-27
mof_unit_558,9.173178264058642e-28
mof_unit_559,8.814326182108743e-28
mof_unit_560,8.855541581271249e-28
mof_unit_561,2.326699547846118e-28
mof_unit_562,1.113638424949124e-27
mof_unit_563,4.380055524666591e-28
mof_unit_564,1.001258479198848e-27
mof_unit_565,8.416819616343667e-28
mof_unit_566,7.632422195004416e-28
mof_unit_567,8.285277873269333e-28
mof_unit_568,7.528435318391607e-28
mof_unit_569,8.571402616073148e-28
mof_unit_570,6.212890809065449e-28
mof_unit_571,4.664254524992467e-28
mof_unit_572,8.279523936820697e-28
mof_unit_573,6.1221266100920695e-28
mof_unit_574,2.1104941092943265e-27
mof_unit_575,8.382686735342387e-28
mof_unit_576,1.2758115181581997e-27
mof_unit_577,5.683841420890413e-28
mof_unit_578,3.2211948878682087e-27
mof_unit_579,5.2444792329209715e-28
mof_unit_580,1.742049819024007e-27
mof_unit_581,7.453718572440904e-28
mof_unit_582,9.508830446323113e-28
mof_unit_583,9.116952738795245e-28
mof_unit_584,2.9108857591662232e-27
mof_unit_585,2.9570091837979903e-28
mof_unit_586,4.688023548742076e-28
mof_unit_587,5.23033140531282e-28
mof_unit_588,8.343084429513337e-28
mof_unit_589,7.896247882038372e-28
mof_unit_590,7.025238334532449e-28
mof_unit_591,1.0847102234643678e-27
mof_unit_592,1.6048200969238987e-27
mof_unit_593,1.4450010884090307e-27
mof_unit_594,7.645399399354146e-28
mof_unit_595,4.362960602655729e-28
mof_unit_596,6.732688261407069e-28
mof_unit_597,5.967145039279712e-28
mof_unit_598,3.8158529477191294e-28
mof_unit_599,7.853874771652894e-28
mof_unit_600,6.017282666379614e-28
mof_unit_601,5.346606139919322e-28
mof_unit_602,5.741745045719281e-28
mof_unit_603,3.3366350222796436e-28
mof_unit_604,1.0517402579146763e-27
mof_unit_605,5.897657837259603e-28
mof_unit_606,7.379479992727014e-28
mof_unit_607,7.940589363095215e-28
mof_unit_608,7.263706266440779e-28
mof_unit_609,9.199672423940758e-28
mof_unit_610,1.7013552066568827e-27
mof_unit_611,2.761895649962345e-28
mof_unit_612,5.86989281189892e-28
mof_unit_613,7.632708621601853e-28
mof_unit_614,6.822769245547576e-28
mof_unit_615,7.1324613136123995e-28
mof_unit_616,1.5627781668315729e-27
mof_unit_617,1.4074193846444217e-27
mof_unit_618,7.554999689291671e-28
mof_unit_619,1.2596585985844752e-27
mof_unit_620,5.1753500205596125e-28
mof_unit_621,3.8672582437720068e-28
mof_unit_622,1.0232268828314832e-27
mof_unit_623,1.2053393306539861e-27
mof_unit_624,3.578970671935552e-28
mof_unit_625,9.018934944984271e-28
mof_unit_626,6.025671754682582e-28
mof_unit_627,3.20262340630907e-28
mof_unit_628,1.1479203833106083e-27
mof_unit_629,8.310823665795325e-28
mof_unit_630,7.613833736743091e-28
mof_unit_631,5.025835751915195e-28
mof_unit_632,7.435216554708495e-28
mof_unit_633,5.488759418218298e-28
mof_unit_634,1.0124637148400414e-27
mof_unit_635,9.479969127025325e-28
mof_unit_636,1.869288598501076e-27
mof_unit_637,7.984064728769887e-28
mof_unit_638,2.057398550873285e-27
mof_unit_639,9.493836055651695e-28
mof_unit_640,7.674550460921951e-28
mof_unit_641,6.7391966665689e-28
mof_unit_642,6.793544225017453e-28
mof_unit_643,2.388346940242219e-27
mof_unit_644,8.51936718906479e-28
mof_unit_645,5.428632111711645e-28
mof_unit_646,6.689638989426902e-28
mof_unit_647,3.6789572119944025e-28
mof_unit_648,4.239545875490004e-28
mof_unit_649,7.81881707452331e-28
mof_unit_650,4.243784978672824e-28
mof_unit_651,9.36550463350785e-28
mof_unit_652,4.8323096890519965e-28
mof_unit_653,5.7227940842050875e-28
mof_unit_654,7.460709590427668e-28
mof_unit_655,3.552554988568886e-28
mof_unit_656,8.37288779632452e-28
mof_unit_657,9.588014779635237e-28
mof_unit_658,6.987929293976889e-28
mof_unit_659,8.568860267297968e-28
mof_unit_660,5.319111923604489e-28
mof_unit_661,6.726864747301834e-28
mof_unit_662,5.114861409725324e-28
mof_unit_663,3.768678255922197e-28
mof_unit_664,4.111695986220325e-28
mof_unit_665,8.725988328153307e-28
mof_unit_666,4.429495312755317e-28
mof_unit_667,7.753462607531667e-28
mof_unit_668,5.365359010055497e-28
mof_unit_669,6.013225935383028e-28
mof_unit_670,7.4817648478556525e-28
mof_unit_671,4.872579543445531e-28
mof_unit_672,7.13655167779346e-28
mof_unit_673,1.0316737370540472e-27
mof_unit_674,6.678802294322043e-28
mof_unit_675,7.114286542529951e-28
mof_unit_676,7.063635395752823e-28
mof_unit_677,1.1168180684257121e-27
mof_unit_678,8.324467210575863e-28
mof_unit_679,7.858490696865175e-28
mof_unit_680,9.703982397558044e-28
mof_unit_681,4.766326937364525e-28
mof_unit_682,5.383343149748753e-28
mof_unit_683,1.6429599075285523e-27
mof_unit_684,8.368629688852752e-28
mof_unit_685,2.0105253316219307e-27
mof_unit_686,6.086059211662128e-28
mof_unit_687,6.257158368415261e-28
mof_unit_688,7.13629090294139e-28
mof_unit_689,9.677748014618013e-28
mof_unit_690,5.934039673205129e-28
mof_unit_691,4.704373047602932e-28
mof_unit_692,7.292466611488249e-28
mof_unit_693,1.03076388191269e-27
mof_unit_694,6.380862471989424e-28
mof_unit_695,6.645023018659972e-28
mof_unit_696,3.3679428801066763e-28
mof_unit_697,5.070779922872843e-28
mof_unit_698,6.66728912269442e-28
mof_unit_699,2.244457265097295e-27
mof_unit_700,3.8943332280668694e-28
mof_unit_701,1.0158482220275591e-27
mof_unit_702,4.499903013883653e-28
mof_unit_703,2.2421249662922377e-27
mof_unit_704,4.118592233824698e-28
mof_unit_705,1.1827738967290188e-27
mof_unit_706,9.731112271622623e-28
mof_unit_707,8.074013096492925e-28
mof_unit_708,4.50538982091077e-28
mof_unit_709,3.603927392498778e-28
mof_unit_710,2.866363301246256e-28
mof_unit_711,2.763826300667634e-27
mof_unit_712,7.352343756409143e-28
mof_unit_713,9.097046384434044e-28
mof_unit_714,3.0656062155900943e-28
mof_unit_715,1.0309897785938192e-27
mof_unit_716,2.733685565212253e-28
mof_unit_717,8.448926910847346e-28
mof_unit_718,4.538531060340317e-28
mof_unit_719,7.126617059054718e-28
mof_unit_720,2.4581865795191222e-27
mof_unit_721,8.125411384851384e-28
mof_unit_722,9.314655283381763e-28
mof_unit_723,8.70025433545196e-28
